neighbourhood_id,borough,zipcode,name,description,photo_path,landmarks
23,Brooklyn,11218,Windsor Terrace-South Slope,A quiet residential neighborhood with a small-town feel and access to Prospect Park.,React-Frontend\\public\\img\\Neighbourhoods\\Windsor Terrace-South Slope,"{Prospect Park,Greenwood Playground}"
24,Brooklyn,11232,Sunset Park (West),A diverse neighborhood known for its stunning views of the Manhattan skyline and vibrant culture.,React-Frontend\\public\\img\\Neighbourhoods\\Sunset Park (West),"{Sunset Park,Industry City}"
25,Brooklyn,11220,Sunset Park (Central),A bustling neighborhood with a strong community spirit and numerous cultural institutions.,React-Frontend\\public\\img\\Neighbourhoods\\Sunset Park (Central),"{Green-Wood Cemetery,Brooklyn Army Terminal}"
26,Brooklyn,11232,Green-Wood Cemetery,A historic cemetery and National Historic Landmark known for its beautiful landscape and notable burials.,React-Frontend\\public\\img\\Neighbourhoods\\Green-Wood Cemetery,{Green-Wood Cemetery}
27,Brooklyn,11238,Prospect Heights,"A vibrant neighborhood with a mix of historic and modern architecture, close to Prospect Park and cultural institutions.",React-Frontend\\public\\img\\Neighbourhoods\\Prospect Heights,"{Brooklyn Museum,Prospect Park}"
28,Brooklyn,11213,Crown Heights (North),A culturally diverse neighborhood known for its beautiful brownstones and vibrant community events.,React-Frontend/public/img/Neighbourhoods/Crown Heights (North),"{Brooklyn Children's Museum,Weeksville Heritage Center}"
29,Brooklyn,11213,Lincoln Terrace Park,"A green oasis offering recreational facilities and playgrounds, serving as a community gathering spot.",React-Frontend/public/img/Neighbourhoods/Lincoln Terrace Park,"{Lincoln Terrace Park,Ralph J. Rangel Park}"
30,Brooklyn,11213,Crown Heights (South),"A dynamic area with a blend of residential streets and commercial avenues, featuring historic homes and cultural institutions.",React-Frontend/public/img/Neighbourhoods/Crown Heights (South),"{Jewish Children's Museum,Brower Park}"
31,Brooklyn,11225,Prospect Lefferts Gardens-Wingate,"A historic neighborhood adjacent to Prospect Park, known for its tree-lined streets and diverse community.",React-Frontend/public/img/Neighbourhoods/Prospect Lefferts Gardens-Wingate,"{Lefferts Historic House,Wingate Park}"
32,Brooklyn,11209,Bay Ridge,"A coastal neighborhood with a mix of residential and commercial areas, known for its waterfront views and cultural diversity.",React-Frontend/public/img/Neighbourhoods/Bay Ridge,"{Shore Road Park,Fort Hamilton}"
33,Brooklyn,11228,Dyker Heights,A suburban-like area famous for its extravagant Christmas light displays and spacious homes.,React-Frontend/public/img/Neighbourhoods/Dyker Heights,"{Dyker Beach Park,Poly Prep Country Day School}"
34,Brooklyn,11209,Fort Hamilton,"A neighborhood named after the historic U.S. Army garrison, offering scenic views and historic sites.",React-Frontend/public/img/Neighbourhoods/Fort Hamilton,"{Fort Hamilton Army Base,John Paul Jones Park}"
35,Brooklyn,11228,Dyker Beach Park,"A large public park featuring a golf course, sports facilities, and recreational areas.",React-Frontend/public/img/Neighbourhoods/Dyker Beach Park,"{Dyker Beach Golf Course,Dyker Beach Park}"
36,Brooklyn,11204,Bensonhurst,"A multicultural neighborhood known for its Italian-American heritage, diverse food scene, and family-friendly atmosphere.",React-Frontend/public/img/Neighbourhoods/Bensonhurst,"{New Utrecht Reformed Church,Bensonhurst Park}"
37,Brooklyn,11214,Bath Beach,"A coastal community with a relaxed vibe, featuring waterfront parks and a mix of residential buildings.",React-Frontend/public/img/Neighbourhoods/Bath Beach,"{Bath Beach Park,Shore Parkway}"
38,Brooklyn,11214,Gravesend (West),"A historic neighborhood with a rich cultural heritage, offering a mix of residential and commercial areas.",React-Frontend/public/img/Neighbourhoods/Gravesend (West),"{Gravesend Park,Avenue U Plaza}"
39,Brooklyn,11219,Sunset Park (East)-Borough Park (West),"A vibrant area with a mix of industrial and residential zones, known for its cultural diversity and community spirit.",React-Frontend/public/img/Neighbourhoods/Sunset Park (East)-Borough Park (West),"{Sunset Park,Borough Park}"
40,Brooklyn,11219,Borough Park,"A bustling neighborhood with a strong sense of community, known for its large Orthodox Jewish population.",React-Frontend/public/img/Neighbourhoods/Borough Park,"{Maimonides Medical Center,13th Avenue Shopping District}"
41,Brooklyn,11218,Kensington,"A peaceful and diverse neighborhood with a suburban feel, featuring tree-lined streets and family-friendly parks.",React-Frontend/public/img/Neighbourhoods/Kensington,"{Kensington Stables,Greenwood Playground}"
42,Brooklyn,11230,Mapleton-Midwood (West),"A residential area known for its quiet streets, diverse population, and proximity to local amenities.",React-Frontend/public/img/Neighbourhoods/Mapleton-Midwood (West),"{Mapleton Park,Midwood High School}"
43,Brooklyn,11224,Gravesend (South),"A neighborhood with a rich history and a mix of residential and commercial areas, close to Coney Island.",React-Frontend/public/img/Neighbourhoods/Gravesend (South),"{Gravesend Bay,Neptune Avenue}"
44,Brooklyn,11224,Coney Island-Sea Gate,"A famous beachfront area known for its amusement parks, boardwalk, and historic attractions.",React-Frontend/public/img/Neighbourhoods/Coney Island-Sea Gate,"{Coney Island Boardwalk,Luna Park,Sea Gate Beach}"
104,Bronx,10475,Co-op City,A large residential community with parks and shopping centers.,React-Frontend/public/img/Neighbourhoods/Co-op City,"{Co-op City,Greenway Trail}"
45,Brooklyn,11235,Brighton Beach,A vibrant beachfront neighborhood known for its lively boardwalk and Russian community.,React-Frontend/public/img/Neighbourhoods/Brighton Beach,"{Brighton Beach Boardwalk,Tatiana Restaurant}"
46,Brooklyn,11224,Calvert Vaux Park,"A large waterfront park offering sports facilities, walking trails, and scenic views.",React-Frontend/public/img/Neighbourhoods/Calvert Vaux Park,"{Calvert Vaux Park,Shore Parkway}"
47,Brooklyn,11226,Flatbush,"A bustling neighborhood with a mix of historic and modern buildings, known for its cultural diversity.",React-Frontend/public/img/Neighbourhoods/Flatbush,"{Flatbush Avenue,Kings Theatre}"
48,Brooklyn,11218,Flatbush (West)-Ditmas Park-Parkville,"A historic area with Victorian homes and tree-lined streets, offering a suburban feel in the city.",React-Frontend/public/img/Neighbourhoods/Flatbush (West)-Ditmas Park,"{Ditmas Park,Cortelyou Road}"
49,Brooklyn,11210,Midwood,A diverse neighborhood known for its quiet residential streets and family-friendly atmosphere.,React-Frontend/public/img/Neighbourhoods/Midwood,"{Brooklyn College,Midwood High School}"
50,Brooklyn,11223,Gravesend (East)-Homecrest,A neighborhood with a rich history and a mix of residential and commercial areas.,React-Frontend/public/img/Neighbourhoods/Gravesend (East)-Homecrest,"{Homecrest Playground,Avenue U}"
51,Brooklyn,11229,Madison,A quiet residential neighborhood with tree-lined streets and a suburban feel.,React-Frontend/public/img/Neighbourhoods/Madison,"{Madison High School,Marine Park}"
52,Brooklyn,11235,Sheepshead Bay-Marine Park,"A waterfront community known for its fishing boats, seafood restaurants, and recreational activities.",React-Frontend/public/img/Neighbourhoods/Sheepshead Bay-Marine Park,"{Sheepshead Bay,Marine Park}"
53,Brooklyn,11233,Ocean Hill,"A historic neighborhood with a strong sense of community, known for its cultural heritage and brownstone architecture.",React-Frontend/public/img/Neighbourhoods/Ocean Hill,"{Ocean Hill Playground,P.S. 184 Newport}"
54,Brooklyn,11212,Brownsville,"A neighborhood with a rich history and a tight-knit community, known for its cultural and social activism.",React-Frontend/public/img/Neighbourhoods/Brownsville,"{Brownsville Recreation Center,Zion Triangle}"
55,Brooklyn,11226,East Flatbush-Erasmus,A diverse and vibrant neighborhood known for its historic sites and cultural institutions.,React-Frontend/public/img/Neighbourhoods/East Flatbush-Erasmus,"{Erasmus Hall High School,Holy Cross Cemetery}"
56,Brooklyn,11203,East Flatbush-Farragut,"A bustling area with a mix of residential and commercial properties, known for its diverse community.",React-Frontend/public/img/Neighbourhoods/East Flatbush-Farragut,"{Farragut Road,Wingate Park}"
57,Brooklyn,11203,East Flatbush-Rugby,A vibrant neighborhood with a rich cultural heritage and strong community ties.,React-Frontend/public/img/Neighbourhoods/East Flatbush-Rugby,"{Rugby Road,Kings County Hospital}"
58,Brooklyn,11212,East Flatbush-Remsen Village,"A residential area with a diverse population, known for its strong community spirit.",React-Frontend/public/img/Neighbourhoods/East Flatbush-Remsen Village,"{Remsen Avenue,Rutland Road}"
59,Brooklyn,11203,Holy Cross Cemetery,A historic cemetery and a peaceful green space in the heart of Brooklyn.,React-Frontend/public/img/Neighbourhoods/Holy Cross Cemetery,{Holy Cross Cemetery}
60,Brooklyn,11210,Flatlands,A suburban-like neighborhood with quiet residential streets and local amenities.,React-Frontend/public/img/Neighbourhoods/Flatlands,"{Flatlands Avenue,Amersfort Park}"
61,Brooklyn,11234,Marine Park-Mill Basin,"A waterfront community with a suburban feel, offering parks, marinas, and residential areas.",React-Frontend/public/img/Neighbourhoods/Marine Park-Mill Basin,"{Marine Park,Mill Basin}"
62,Brooklyn,11236,Canarsie,"A residential neighborhood known for its waterfront parks, fishing piers, and diverse community.",React-Frontend/public/img/Neighbourhoods/Canarsie,"{Canarsie Pier,Canarsie Park}"
63,Brooklyn,11234,Marine Park-Plumb Island,A quiet waterfront community with scenic views and outdoor recreational activities.,React-Frontend/public/img/Neighbourhoods/Marine Park-Plumb Island,"{Plumb Beach,Marine Park}"
64,Brooklyn,11234,McGuire Fields,A local sports complex offering various recreational facilities and community events.,React-Frontend/public/img/Neighbourhoods/McGuire Fields,{McGuire Fields}
65,Brooklyn,11236,Canarsie Park & Pier,"A large park offering sports facilities, walking trails, and fishing piers.",React-Frontend/public/img/Neighbourhoods/Canarsie Park & Pier,"{Canarsie Pier,Canarsie Park}"
66,Brooklyn,11226,Prospect Park,"A historic and expansive park offering various recreational activities, cultural events, and scenic beauty.",React-Frontend/public/img/Neighbourhoods/Prospect Park,"{Prospect Park,Brooklyn Botanic Garden}"
67,Brooklyn,11234,Barren Island-Floyd Bennett Field,"A historic area with a former airfield, now a part of the Gateway National Recreation Area.",React-Frontend/public/img/Neighbourhoods/Barren Island-Floyd Bennett Field,"{Floyd Bennett Field,Jamaica Bay Wildlife Refuge}"
68,Queens,11694,Jamaica Bay (West),A coastal area known for its natural beauty and recreational opportunities.,React-Frontend/public/img/Neighbourhoods/Jamaica Bay (West),"{Jamaica Bay Wildlife Refuge,Rockaway Beach}"
69,Brooklyn,11239,Shirley Chisholm State Park,"A large state park offering trails, picnic areas, and waterfront views.",React-Frontend/public/img/Neighbourhoods/Shirley Chisholm State Park,{Shirley Chisholm State Park}
70,Bronx,10454,Mott Haven-Port Morris,An industrial and residential area with historic buildings and waterfront views.,React-Frontend/public/img/Neighbourhoods/Mott Haven-Port Morris,"{St. Mary's Park,Port Morris}"
71,Bronx,10455,Melrose,A diverse neighborhood known for its cultural institutions and community spirit.,React-Frontend/public/img/Neighbourhoods/Melrose,"{Melrose Housing,St. Ann's Church}"
72,Bronx,10474,Hunts Point,An industrial area known for its market and waterfront parks.,React-Frontend/public/img/Neighbourhoods/Hunts Point,"{Hunts Point Riverside Park,The Point CDC}"
73,Bronx,10459,Longwood,A residential area with historic row houses and a strong community presence.,React-Frontend/public/img/Neighbourhoods/Longwood,"{Bill Rainey Park,Longwood Historic District}"
74,Bronx,10455,North & South Brother Islands,Uninhabited islands with historical significance and natural beauty.,React-Frontend/public/img/Neighbourhoods/North & South Brother Islands,"{North Brother Island,South Brother Island}"
75,Bronx,10456,Morrisania,A vibrant neighborhood known for its rich cultural history and community activism.,React-Frontend/public/img/Neighbourhoods/Morrisania,"{Morrisania Library,Morrisania Air Rights}"
76,Bronx,10456,Claremont Village-Claremont (East),A residential area with parks and a mix of housing types.,React-Frontend/public/img/Neighbourhoods/Claremont Village-Claremont (East),"{Claremont Park,Claremont Village}"
77,Bronx,10459,Crotona Park East,"A neighborhood adjacent to Crotona Park, known for its green spaces and community amenities.",React-Frontend/public/img/Neighbourhoods/Crotona Park East,"{Crotona Park,Charlotte Street}"
78,Bronx,10459,Crotona Park,A large public park offering recreational facilities and green spaces.,React-Frontend/public/img/Neighbourhoods/Crotona Park,"{Crotona Park,Crotona Pool}"
79,Bronx,10451,Concourse-Concourse Village,A bustling area with cultural institutions and historic buildings.,React-Frontend/public/img/Neighbourhoods/Concourse-Concourse Village,"{Yankee Stadium,Bronx Museum of the Arts}"
80,Bronx,10452,Highbridge,A residential neighborhood known for its historic aqueduct and parks.,React-Frontend/public/img/Neighbourhoods/Highbridge,"{High Bridge,Highbridge Park}"
81,Bronx,10452,Mount Eden-Claremont (West),A diverse area with a mix of residential and commercial properties.,React-Frontend/public/img/Neighbourhoods/Mount Eden-Claremont (West),"{Mount Eden Malls,Claremont Park}"
82,Bronx,10039,Yankee Stadium-Macombs Dam Park,An iconic sports area featuring the legendary Yankee Stadium and surrounding parkland.,React-Frontend/public/img/Neighbourhoods/Yankee Stadium-Macombs Dam Park,"{Yankee Stadium,Macombs Dam Park}"
83,Bronx,10452,Claremont Park,A historic public park offering recreational facilities and green spaces.,React-Frontend/public/img/Neighbourhoods/Claremont Park,"{Claremont Park,Crotona Park}"
84,Bronx,10453,University Heights (South)-Morris Heights,A neighborhood with educational institutions and scenic views along the Harlem River.,React-Frontend/public/img/Neighbourhoods/University Heights (South)-Morris Heights,"{Bronx Community College,University Heights Bridge}"
85,Bronx,10457,Mount Hope,A residential area with historic sites and a diverse community.,React-Frontend/public/img/Neighbourhoods/Mount Hope,"{Mount Hope Playground,Bronx Zoo}"
86,Bronx,10458,Fordham Heights,A vibrant neighborhood known for its educational institutions and bustling streets.,React-Frontend/public/img/Neighbourhoods/Fordham Heights,"{Fordham University,Fordham Road}"
87,Bronx,10460,West Farms,A residential neighborhood with parks and community amenities.,React-Frontend/public/img/Neighbourhoods/West Farms,"{West Farms Square,Bronx River}"
88,Bronx,10457,Tremont,A bustling area known for its commercial strips and diverse population.,React-Frontend/public/img/Neighbourhoods/Tremont,"{Tremont Park,St. Barnabas Hospital}"
89,Bronx,10458,Belmont,A historic neighborhood known for its Italian heritage and vibrant food scene.,React-Frontend/public/img/Neighbourhoods/Belmont,"{Arthur Avenue,Belmont Library}"
90,Bronx,10468,University Heights (North)-Fordham,An area known for its educational institutions and vibrant community.,React-Frontend/public/img/Neighbourhoods/University Heights (North)-Fordham,"{Fordham University,University Heights}"
91,Bronx,10468,Bedford Park,A leafy neighborhood with parks and cultural institutions.,React-Frontend/public/img/Neighbourhoods/Bedford Park,"{New York Botanical Garden,Lehman College}"
92,Bronx,10467,Norwood,A residential neighborhood with a suburban feel and community amenities.,React-Frontend/public/img/Neighbourhoods/Norwood,"{Williamsbridge Oval,Montefiore Medical Center}"
93,Bronx,10468,Kingsbridge Heights-Van Cortlandt Village,A diverse area with parks and historic sites.,React-Frontend/public/img/Neighbourhoods/Kingsbridge Heights-Van Cortlandt Village,"{Van Cortlandt Park,Kingsbridge Armory}"
94,Bronx,10463,Kingsbridge-Marble Hill,A residential neighborhood known for its historic sites and waterfront views.,React-Frontend/public/img/Neighbourhoods/Kingsbridge-Marble Hill,"{Marble Hill Houses,River Plaza}"
95,Bronx,10471,Riverdale-Spuyten Duyvil,An affluent area with scenic views and historic homes.,React-Frontend/public/img/Neighbourhoods/Riverdale-Spuyten Duyvil,"{Wave Hill,Spuyten Duyvil}"
96,Bronx,10472,Soundview-Bruckner-Bronx River,A neighborhood with waterfront parks and a strong community presence.,React-Frontend/public/img/Neighbourhoods/Soundview-Bruckner-Bronx River,"{Soundview Park,Bronx River}"
97,Bronx,10473,Soundview-Clason Point,A residential area with parks and waterfront views.,React-Frontend/public/img/Neighbourhoods/Soundview-Clason Point,"{Clason Point Park,Soundview Park}"
98,Bronx,10473,Castle Hill-Unionport,A diverse neighborhood with residential and commercial areas.,React-Frontend/public/img/Neighbourhoods/Castle Hill-Unionport,"{Castle Hill Park,Unionport}"
99,Bronx,10462,Parkchester,"A planned community with residential buildings, shopping, and green spaces.",React-Frontend/public/img/Neighbourhoods/Parkchester,"{Parkchester,Metropolitan Oval}"
100,Bronx,10473,Soundview Park,A large waterfront park offering recreational facilities and scenic views.,React-Frontend/public/img/Neighbourhoods/Soundview Park,{Soundview Park}
101,Bronx,10462,Westchester Square,A commercial and residential hub with historic sites and parks.,React-Frontend/public/img/Neighbourhoods/Westchester Square,"{Westchester Square,Owen Dolen Park}"
102,Bronx,10465,Throgs Neck-Schuylerville,A waterfront neighborhood with parks and residential areas.,React-Frontend/public/img/Neighbourhoods/Throgs Neck-Schuylerville,"{Throgs Neck Bridge,Schuylerville}"
103,Bronx,10461,Pelham Bay-Country Club-City Island,"A diverse area with waterfront views, parks, and historic sites.",React-Frontend/public/img/Neighbourhoods/Pelham Bay-Country Club-City Island,"{Pelham Bay Park,City Island}"
105,Bronx,10464,Hart Island,A historically significant island known for its past as a burial ground.,React-Frontend/public/img/Neighbourhoods/Hart Island,{Hart Island}
106,Bronx,10465,Ferry Point Park-St. Raymond Cemetery,A waterfront area with parks and historic sites.,React-Frontend/public/img/Neighbourhoods/Ferry Point Park-St. Raymond Cemetery,"{Ferry Point Park,St. Raymond Cemetery}"
107,Bronx,10462,Pelham Parkway-Van Nest,A residential area known for its parkway and community amenities.,React-Frontend/public/img/Neighbourhoods/Pelham Parkway-Van Nest,"{Pelham Parkway,Van Nest}"
108,Bronx,10461,Morris Park,A residential neighborhood with tree-lined streets and community parks.,React-Frontend/public/img/Neighbourhoods/Morris Park,"{Morris Park,Jacobi Medical Center}"
109,Bronx,10469,Pelham Gardens,A suburban-like neighborhood with quiet streets and family homes.,React-Frontend/public/img/Neighbourhoods/Pelham Gardens,"{Pelham Parkway,Pelham Gardens}"
110,Bronx,10467,Allerton,A residential area with a diverse population and community parks.,React-Frontend/public/img/Neighbourhoods/Allerton,"{Allerton Avenue,Gun Hill Road}"
111,Bronx,10461,Hutchinson Metro Center,A commercial and business hub with office buildings and amenities.,React-Frontend/public/img/Neighbourhoods/Hutchinson Metro Center,"{Hutchinson River Parkway,Hutchinson Metro Center}"
112,Bronx,10470,Williamsbridge-Olinville,A residential neighborhood with a mix of housing types and community parks.,React-Frontend/public/img/Neighbourhoods/Williamsbridge-Olinville,"{Williamsbridge Oval,Olinville}"
113,Bronx,10475,Eastchester-Edenwald-Baychester,A diverse area with residential neighborhoods and community amenities.,React-Frontend/public/img/Neighbourhoods/Eastchester-Edenwald-Baychester,"{Edenwald Houses,Baychester Avenue}"
114,Bronx,10466,Wakefield-Woodlawn,A residential neighborhood with a suburban feel and community parks.,React-Frontend/public/img/Neighbourhoods/Wakefield-Woodlawn,"{Woodlawn Cemetery,Wakefield}"
115,Bronx,10470,Woodlawn Cemetery,A historic cemetery and green space in the Bronx.,React-Frontend/public/img/Neighbourhoods/Woodlawn Cemetery,{Woodlawn Cemetery}
116,Bronx,10471,Van Cortlandt Park,A large public park offering recreational facilities and scenic views.,React-Frontend/public/img/Neighbourhoods/Van Cortlandt Park,"{Van Cortlandt Park,Van Cortlandt House Museum}"
117,Bronx,10458,Bronx Park,"A large urban park offering a zoo, botanical garden, and recreational facilities.",React-Frontend/public/img/Neighbourhoods/Bronx Park,"{Bronx Zoo,New York Botanical Garden}"
118,Bronx,10464,Pelham Bay Park,A large public park offering waterfront views and recreational activities.,React-Frontend/public/img/Neighbourhoods/Pelham Bay Park,"{Pelham Bay Park,Orchard Beach}"
119,Manhattan,10005,Financial District-Battery Park City,"A bustling area with skyscrapers, historic sites, and waterfront parks.",React-Frontend/public/img/Neighbourhoods/Financial District-Battery Park City,"{One World Trade Center,Battery Park}"
120,Manhattan,10013,Tribeca-Civic Center,"A trendy neighborhood known for its cobblestone streets, historic buildings, and cultural institutions.",React-Frontend/public/img/Neighbourhoods/Tribeca-Civic Center,"{Tribeca Film Center,City Hall}"
121,Manhattan,10004,The Battery-Governors Island-Ellis Island-Liberty Island,"An iconic area with historic sites, parks, and waterfront views.",React-Frontend/public/img/Neighbourhoods/The Battery-Governors Island-Ellis Island-Liberty Island,"{The Battery,Governors Island,Ellis Island,Liberty Island}"
122,Manhattan,10013,SoHo-Little Italy-Hudson Square,"A fashionable area known for its shopping, dining, and historic architecture.",React-Frontend/public/img/Neighbourhoods/SoHo-Little Italy-Hudson Square,"{SoHo,Little Italy,Hudson Square}"
123,Manhattan,10012,Greenwich Village,"A historic neighborhood known for its bohemian vibe, cultural landmarks, and vibrant nightlife.",React-Frontend/public/img/Neighbourhoods/Greenwich Village,"{Washington Square Park,The Stonewall Inn}"
124,Manhattan,10014,West Village,"A charming neighborhood with cobblestone streets, historic townhouses, and trendy boutiques.",React-Frontend/public/img/Neighbourhoods/West Village,"{Bleecker Street,High Line Park}"
125,Manhattan,10002,Chinatown-Two Bridges,"A bustling area known for its vibrant Chinese community, markets, and cultural festivals.",React-Frontend/public/img/Neighbourhoods/Chinatown-Two Bridges,"{Chinatown,Manhattan Bridge}"
126,Manhattan,10002,Lower East Side,"A historic neighborhood known for its cultural institutions, nightlife, and diverse food scene.",React-Frontend/public/img/Neighbourhoods/Lower East Side,"{Lower East Side Tenement Museum,Katz's Delicatessen}"
127,Manhattan,10009,East Village,"A vibrant neighborhood known for its arts scene, historic buildings, and diverse community.",React-Frontend/public/img/Neighbourhoods/East Village,"{Tompkins Square Park,St. Mark's Place}"
128,Manhattan,10001,Chelsea-Hudson Yards,"A dynamic area with art galleries, high-end shopping, and the Hudson Yards development.",React-Frontend/public/img/Neighbourhoods/Chelsea-Hudson Yards,"{Chelsea Market,The Vessel}"
129,Manhattan,10018,Hell's Kitchen,"A bustling neighborhood known for its diverse dining options, nightlife, and theater district.",React-Frontend/public/img/Neighbourhoods/Hells Kitchen,"{Hell's Kitchen Flea Market,Intrepid Sea, Air & Space Museum}"
130,Manhattan,10098,Midtown South-Flatiron-Union Square,"A central area with iconic landmarks, shopping, and cultural attractions.",React-Frontend/public/img/Neighbourhoods/Midtown South-Flatiron-Union Square,"{Flatiron Building,Union Square}"
131,Manhattan,10020,Midtown-Times Square,"A bustling area known for its theaters, shopping, and iconic landmarks.",React-Frontend/public/img/Neighbourhoods/Midtown-Times Square,"{Times Square,Broadway}"
132,Manhattan,10009,Stuyvesant Town-Peter Cooper Village,A large residential complex offering park-like settings and community amenities.,React-Frontend/public/img/Neighbourhoods/Stuyvesant Town-Peter Cooper Village,"{Stuyvesant Town,Peter Cooper Village}"
133,Manhattan,10010,Gramercy,A historic neighborhood known for its tree-lined streets and exclusive Gramercy Park.,React-Frontend/public/img/Neighbourhoods/Gramercy,"{Gramercy Park,National Arts Club}"
134,Manhattan,10010,Murray Hill-Kips Bay,"A vibrant neighborhood with a mix of historic and modern buildings, known for its nightlife and dining options.",React-Frontend/public/img/Neighbourhoods/Murray Hill-Kips Bay,"{Murray Hill,Kips Bay Towers}"
135,Manhattan,10022,East Midtown-Turtle Bay,"A bustling area with a mix of residential and commercial buildings, known for the United Nations headquarters.",React-Frontend/public/img/Neighbourhoods/East Midtown-Turtle Bay,"{United Nations,Tudor City}"
136,Manhattan,10017,United Nations,A district known for the United Nations headquarters and surrounding diplomatic missions.,React-Frontend/public/img/Neighbourhoods/United Nations,{United Nations Headquarters}
